ID,Title_English
131,yaft abad-mehr abad junubi
137,meydan khorasan - shush
133,nemat abad - abdol abad
144,zafar - mirdamad
135,piroozi - niru havayi
139,mini city - ozgol - dar abad
154,Ferdos-Kashani-ShahreZiba
132,JanatAbad-Shahran
134,darvaze shemiran - meydan shohada
136,afsarie - ahang
138,shahre rey
140,abbas abad - sed khandan - qasr
141,niavaran - ajudanie
142,qeytarie - andarzgu - dolat
143,nazi abad
145,pasdaran - heravi - darus
146,jordan - vanak
147,saadat abad - shahrak qarb
148,velenjak - zaaferanie - tajrish
149,yusef abad - amir abad - gisha
150,shad abad - khalij e fars - tehransar
151,Sadeghieh-Sattarkhan-Marzdaran
152,Poonak-BaghFeyz
153,hafte tir - enqelab - vali asr - ferdosi
155,Daryacheh-Shahrake Golestan-Dehkade Olampik
156,narmak - majidie
157,tehranpars - hakimie
158,nezam abad
159,vard avard - shahrak e chitgar
160,bazar - monirie - gomrok
161,azadi - jey - navvab
162,Ekbatan-Apadana
